,year,fips60_06,fips,wtem,wpre,wtem50,wpre50,country,country_code,ki,rgdpl,gdpLCU,gdpSHAREAG,gdpWDIGDPAGR,gdpWDIGDPIND,lnrgdpl_t0,_MENA,_SSAF,_LAC,_WEOFF,_EECA,_SEAS,parent
0,1986,AE,AE,25.925922,0.78256786,26.917786,14.031917,United Arab Emirates,ARE,23.556520554821915,20155.89813186916,67771.8845,1.881904602,1940000000.0,50300000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
1,2006,AE,AE,27.815685,1.1994822,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
2,2003,AE,AE,27.971607,0.59837854,26.917786,14.031917,United Arab Emirates,ARE,16.41358563118155,35675.61709598364,62069.66295,2.854879141,8630000000.0,118000000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
3,1955,AE,AE,26.776577,2.0793393,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
4,1958,AE,AE,27.213095,1.5743643,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
5,1981,AE,AE,27.172352,2.3807395,26.917786,14.031917,United Arab Emirates,ARE,20.646530055901856,43738.733550663055,130109.1955,0.835120142,1120000000.0,92300000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
6,2004,AE,AE,27.976458,0.5731393,26.917786,14.031917,United Arab Emirates,ARE,,,63692.91378,2.629277229,9470000000.0,127000000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
7,2001,AE,AE,27.730743,0.387325,26.917786,14.031917,United Arab Emirates,ARE,19.53582924011663,32848.62934697564,62634.59934,3.485737562,8540000000.0,107000000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
8,1971,AE,AE,25.894583,1.3773322,26.917786,14.031917,United Arab Emirates,ARE,18.80464583531461,10802.2601781038,,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
9,1966,AE,AE,26.276815,1.3288143,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
10,1964,AE,AE,25.564257,1.3779036,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
11,1969,AE,AE,26.322529,1.590782,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
12,1975,AE,AE,26.111755,1.5602429,26.917786,14.031917,United Arab Emirates,ARE,23.40460041583005,43245.202952665684,128926.7666,0.830074131,402000000.0,45300000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
13,1980,AE,AE,27.591845,1.3589357,26.917786,14.031917,United Arab Emirates,ARE,21.885450245002705,46959.83476685426,130031.5139,0.741903722,906000000.0,93900000000.0,9.185632,1.0,0.0,0.0,0.0,0.0,0.0,AE
